"Data.Year","X1","X17","X0","X0.1","Data.n","X0.2","X10","X15","X20","X25","X30","X35","X40","X45","X50","X55","X60","X65","X70","X75","X80","X85","X90","X95","X100","X105","X110","X115","X120","X125","X130","X135","X140","X145","X150","X155","X160","X165","X170","X175","X180","X185","X190","X195"
109,1,17,0,0,5,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0.2,0,0.6,0.4,0.4,0,0.2,0,0.4,0.2,0.2,0,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0
110,1,17,0,0,4,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,17,0,0,5,0,0,0,0,0,0,0,0,0,0.65,0.2,0,0,0,0.4,0,0.533333333333333,0.2,0,0.2,0.25,0.45,0.7,0,0.5,0,0,0,0,0.333333333333333,0.25,0.333333333333333,0,0,0,0,0,0,0
112,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.4,0,0,0.4,0,0,0,0,0.2,0.4,0,0.4,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0
113,1,17,0,0,5,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2,0.4,0,0,0,0,0.6,0.4,0.4,0.4,0.2,0,0,0,0,0,0,0,0,0,0
114,1,17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.6,0.2,0,0.4,0,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
116,1,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.2,0,0,0,0,0.4,0,0.533333333333333,0.6,0.4,0,0,0,0,0,0,0,0.333333333333333,0,0,0.2,0,0,0,0,0,0,0
117,1,17,0,0,6,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.7,0.4,0.2,0.2,0,0,0,0,0,0.2,0.2,0.4,0.6,0.4,0,0,0,0,0.2,0,0,0,0,0,0,0
118,1,17,0,0,3,0,0,0,0,0,0,0,0,0.2,0.4,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0
